                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.02455,                      1,                      1,                0.74373,             0.00023334,             0.00023334,             0.00023334
                     70,                 0.0275,                      1,                      1,                0.74373,             0.00022627,             0.00022627,             0.00022627
                     71,                 0.0285,                      1,                      1,                0.74382,              0.0002192,              0.0002192,              0.0002192
                     72,                0.02733,                      1,                      1,                0.74379,             0.00021213,             0.00021213,             0.00021213
                     73,                0.03831,                      1,                      1,                0.74382,             0.00020506,             0.00020506,             0.00020506
                     74,                 0.0256,                      1,                      1,                0.74378,             0.00019799,             0.00019799,             0.00019799
                     75,                0.02727,                      1,                      1,                0.74385,             0.00019092,             0.00019092,             0.00019092
                     76,                0.02697,                      1,                      1,                0.74377,             0.00018385,             0.00018385,             0.00018385
                     77,                0.02384,                      1,                      1,                0.74374,             0.00017679,             0.00017679,             0.00017679
                     78,                0.02858,                      1,                      1,                0.74374,             0.00016972,             0.00016972,             0.00016972
                     79,                0.02625,                      1,                      1,                0.74373,             0.00016265,             0.00016265,             0.00016265
                     80,                0.02416,                      1,                      1,                0.74376,             0.00015558,             0.00015558,             0.00015558
                     81,                0.02029,                      1,                      1,                0.74377,             0.00014851,             0.00014851,             0.00014851
                     82,                0.02668,                      1,                      1,                0.74371,             0.00014144,             0.00014144,             0.00014144
                     83,                0.03182,                      1,                      1,                0.74373,             0.00013437,             0.00013437,             0.00013437
                     84,                0.02291,                      1,                      1,                0.74372,             0.00012731,             0.00012731,             0.00012731
                     85,                0.02243,                      1,                      1,                 0.7437,             0.00012024,             0.00012024,             0.00012024
                     86,                0.02338,                      1,                      1,                0.74369,             0.00011317,             0.00011317,             0.00011317
                     87,                0.02199,                      1,                      1,                0.74371,              0.0001061,              0.0001061,              0.0001061
                     88,                0.02132,                      1,                      1,                 0.7437,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.01875,                      1,                      1,                 0.7437,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.02467,                      1,                      1,                 0.7437,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.02268,                      1,                      1,                0.74369,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.02637,                      1,                      1,                0.74369,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.02026,                      1,                      1,                 0.7437,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.02145,                      1,                      1,                 0.7437,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.01837,                      1,                      1,                0.74369,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.02244,                      1,                      1,                0.74369,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.02284,                      1,                      1,                 0.7437,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.02402,                      1,                      1,                 0.7437,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.01704,                      1,                      1,                 0.7437,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.01926,                      1,                      1,                 0.7437,             1.4209e-05,             1.4209e-05,             1.4209e-05
